home,away,homeOdd,drawOdd,awaysOdd,homeR,awayR,matchtime,leagueWK,day
WAT,LIV,6.08,4.37,1.52,0,3,16:32:00,WEEK 34,Friday
EVE,NWC,2.38,3.20,3.13,0,2,16:32:00,WEEK 34,Friday
TOT,BUR,1.46,4.38,7.18,3,1,16:32:00,WEEK 34,Friday
BOU,MNU,3.54,3.00,2.30,0,1,16:32:00,WEEK 34,Friday
BRI,ASV,2.29,3.02,3.53,0,1,16:32:00,WEEK 34,Friday
CHE,NOR,1.46,4.38,7.18,3,1,16:32:00,WEEK 34,Friday
WHU,SOU,1.94,3.32,4.25,1,0,16:32:00,WEEK 34,Friday
WOL,MNC,4.16,3.81,1.82,2,1,16:32:00,WEEK 34,Friday
SHU,CRY,3.02,3.19,2.46,1,1,16:32:00,WEEK 34,Friday
ARS,LEI,2.05,3.21,3.95,1,1,16:32:00,WEEK 34,Friday
LIV,WOL,1.57,4.03,6.02,2,0,16:34:00,WEEK 35,Friday
SOU,WAT,2.29,3.00,3.54,1,0,16:34:00,WEEK 35,Friday
BUR,WHU,3.55,2.98,2.30,0,2,16:34:00,WEEK 35,Friday
LEI,SHU,1.55,4.05,6.24,3,0,16:34:00,WEEK 35,Friday
BRI,BOU,2.29,3.02,3.53,3,3,16:34:00,WEEK 35,Friday
CRY,EVE,3.00,3.16,2.49,5,1,16:34:00,WEEK 35,Friday
NOR,TOT,4.38,3.33,1.91,1,3,16:34:00,WEEK 35,Friday
ASV,CHE,3.54,3.00,2.30,0,3,16:34:00,WEEK 35,Friday
MNC,ARS,1.77,3.63,4.72,2,1,16:34:00,WEEK 35,Friday
NWC,MNU,2.48,3.20,2.98,2,2,16:34:00,WEEK 35,Friday
TOT,ASV,1.65,3.63,5.82,3,1,16:36:00,WEEK 36,Friday
SHU,MNC,8.62,4.90,1.36,0,1,16:36:00,WEEK 36,Friday
CHE,BRI,1.65,3.63,5.82,2,1,16:36:00,WEEK 36,Friday
WOL,SOU,1.86,3.42,4.51,0,0,16:36:00,WEEK 36,Friday
MNU,CRY,1.86,3.41,4.51,3,0,16:36:00,WEEK 36,Friday
BOU,NWC,3.03,3.20,2.44,3,1,16:36:00,WEEK 36,Friday
WAT,BUR,1.76,3.44,5.15,1,1,16:36:00,WEEK 36,Friday
EVE,LEI,2.15,3.09,3.79,2,2,16:36:00,WEEK 36,Friday
ARS,LIV,3.52,3.65,2.02,5,0,16:36:00,WEEK 36,Friday
WHU,NOR,1.55,4.05,6.24,2,0,16:36:00,WEEK 36,Friday
CHE,BOU,1.65,3.63,5.82,3,3,16:38:00,WEEK 37,Friday
ASV,WHU,2.88,3.14,2.59,0,0,16:38:00,WEEK 37,Friday
BRI,TOT,3.54,3.00,2.30,2,2,16:38:00,WEEK 37,Friday
SOU,ARS,3.19,3.18,2.36,1,3,16:38:00,WEEK 37,Friday
CRY,NWC,3.00,3.16,2.49,1,1,16:38:00,WEEK 37,Friday
NOR,WAT,3.02,3.19,2.46,1,1,16:38:00,WEEK 37,Friday
LIV,SHU,1.23,6.21,13.0,1,0,16:38:00,WEEK 37,Friday
BUR,WOL,3.84,3.16,2.10,1,1,16:38:00,WEEK 37,Friday
LEI,MNU,2.88,3.23,2.53,0,2,16:38:00,WEEK 37,Friday
MNC,EVE,1.57,4.03,6.02,3,1,16:38:00,WEEK 37,Friday
WAT,ASV,1.96,3.25,4.27,2,0,16:40:00,WEEK 38,Friday
NWC,LEI,2.15,3.09,3.79,2,2,16:40:00,WEEK 38,Friday
SHU,SOU,3.02,3.19,2.46,1,5,16:40:00,WEEK 38,Friday
WOL,NOR,1.46,4.36,7.20,5,0,16:40:00,WEEK 38,Friday
BOU,CRY,2.45,3.19,3.03,1,1,16:40:00,WEEK 38,Friday
TOT,CHE,2.43,3.24,3.02,1,0,16:40:00,WEEK 38,Friday
MNU,MNC,3.52,3.65,2.02,0,1,16:40:00,WEEK 38,Friday
EVE,LIV,4.16,3.81,1.82,2,1,16:40:00,WEEK 38,Friday
ARS,BUR,1.46,4.38,7.18,3,2,16:40:00,WEEK 38,Friday
WHU,BRI,1.77,3.43,5.15,2,1,16:40:00,WEEK 38,Friday
ASV,MNC,7.60,4.66,1.42,1,1,16:42:00,WEEK 01,Friday
BOU,BRI,2.29,3.02,3.53,2,3,16:42:00,WEEK 01,Friday
WOL,MNU,2.48,3.20,2.98,0,1,16:42:00,WEEK 01,Friday
WAT,LIV,6.08,4.37,1.52,0,3,16:42:00,WEEK 01,Friday
SHU,CRY,3.02,3.19,2.46,1,2,16:42:00,WEEK 01,Friday
BUR,ARS,4.38,3.33,1.91,1,2,16:42:00,WEEK 01,Friday
EVE,SOU,1.86,3.42,4.51,3,3,16:42:00,WEEK 01,Friday
LEI,NOR,1.55,4.05,6.24,4,0,16:42:00,WEEK 01,Friday
CHE,WHU,2.05,3.21,3.95,2,1,16:42:00,WEEK 01,Friday
TOT,NWC,2.24,3.07,3.57,3,3,16:42:00,WEEK 01,Friday
CRY,LEI,2.44,3.21,3.03,3,1,16:44:00,WEEK 02,Friday
MNU,BUR,1.46,4.38,7.18,3,2,16:44:00,WEEK 02,Friday
NWC,LIV,4.16,3.81,1.82,1,2,16:44:00,WEEK 02,Friday
NOR,WAT,3.02,3.19,2.46,1,4,16:44:00,WEEK 02,Friday
TOT,CHE,2.43,3.24,3.02,1,2,16:44:00,WEEK 02,Friday
SOU,ASV,1.96,3.25,4.27,2,0,16:44:00,WEEK 02,Friday
BRI,EVE,3.03,3.20,2.44,1,0,16:44:00,WEEK 02,Friday
MNC,SHU,1.23,6.21,13.0,3,1,16:44:00,WEEK 02,Friday
ARS,BOU,1.65,3.63,5.82,1,0,16:44:00,WEEK 02,Friday
WHU,WOL,2.43,3.23,3.02,0,1,16:44:00,WEEK 02,Friday
BUR,WHU,3.55,2.98,2.30,1,1,16:46:00,WEEK 03,Friday
WOL,TOT,2.48,3.20,2.98,3,3,16:46:00,WEEK 03,Friday
WAT,CRY,2.29,3.00,3.54,2,0,16:46:00,WEEK 03,Friday
ASV,BRI,2.29,3.02,3.53,1,1,16:46:00,WEEK 03,Friday
BOU,MNU,3.54,3.00,2.30,0,0,16:46:00,WEEK 03,Friday
SHU,SOU,3.02,3.19,2.46,0,2,16:46:00,WEEK 03,Friday
LEI,MNC,5.07,3.91,1.67,1,0,16:46:00,WEEK 03,Friday
CHE,NWC,2.24,3.07,3.57,2,1,16:46:00,WEEK 03,Friday
EVE,ARS,2.48,3.20,2.98,1,1,16:46:00,WEEK 03,Friday
LIV,NOR,1.23,6.21,13.0,3,2,16:46:00,WEEK 03,Friday
MNU,EVE,2.24,3.07,3.57,4,1,16:48:00,WEEK 04,Friday
WHU,BOU,1.77,3.43,5.15,1,1,16:48:00,WEEK 04,Friday
CHE,WOL,2.24,3.07,3.57,2,1,16:48:00,WEEK 04,Friday
BRI,SHU,1.95,3.29,4.25,1,0,16:48:00,WEEK 04,Friday
SOU,LEI,2.44,3.21,3.03,0,4,16:48:00,WEEK 04,Friday
NWC,NOR,1.46,4.36,7.20,3,0,16:48:00,WEEK 04,Friday
TOT,BUR,1.46,4.38,7.18,3,2,16:48:00,WEEK 04,Friday
CRY,LIV,6.08,4.37,1.52,2,1,16:48:00,WEEK 04,Friday
MNC,WAT,1.42,4.55,7.93,2,3,16:48:00,WEEK 04,Friday
ARS,ASV,1.65,3.63,5.82,2,0,16:48:00,WEEK 04,Friday
EVE,WHU,2.15,3.09,3.79,1,2,16:50:00,WEEK 05,Friday
WAT,SOU,2.29,3.00,3.54,0,3,16:50:00,WEEK 05,Friday
NOR,CRY,3.02,3.19,2.46,0,2,16:50:00,WEEK 05,Friday
ASV,MNU,3.54,3.00,2.30,4,0,16:50:00,WEEK 05,Friday
BUR,CHE,4.38,3.33,1.91,1,4,16:50:00,WEEK 05,Friday
SHU,ARS,4.38,3.33,1.91,2,2,16:50:00,WEEK 05,Friday
BOU,TOT,3.54,3.00,2.30,1,0,16:50:00,WEEK 05,Friday
LIV,MNC,2.45,3.19,3.03,3,1,16:50:00,WEEK 05,Friday
LEI,BRI,1.77,3.43,5.15,1,1,16:50:00,WEEK 05,Friday
WOL,NWC,2.38,3.20,3.13,0,2,16:50:00,WEEK 05,Friday
MNC,NOR,1.23,6.21,13.0,2,1,16:52:00,WEEK 06,Friday
MNU,SHU,1.46,4.38,7.18,1,0,16:52:00,WEEK 06,Friday
WOL,BUR,1.46,4.36,7.20,3,0,16:52:00,WEEK 06,Friday
SOU,LIV,6.08,4.37,1.52,0,1,16:52:00,WEEK 06,Friday
ARS,LEI,2.05,3.21,3.95,1,1,16:52:00,WEEK 06,Friday
TOT,EVE,2.24,3.07,3.57,4,0,16:52:00,WEEK 06,Friday
WHU,ASV,1.77,3.43,5.15,0,1,16:52:00,WEEK 06,Friday
BRI,WAT,2.45,3.19,3.03,2,2,16:52:00,WEEK 06,Friday
CHE,BOU,1.65,3.63,5.82,4,0,16:52:00,WEEK 06,Friday
NWC,CRY,1.86,3.42,4.51,4,0,16:52:00,WEEK 06,Friday
BOU,WOL,3.03,3.20,2.44,2,2,16:54:00,WEEK 07,Friday
EVE,CHE,2.48,3.20,2.98,2,2,16:54:00,WEEK 07,Friday
ASV,TOT,3.54,3.00,2.30,1,4,16:54:00,WEEK 07,Friday
SHU,WHU,3.55,2.98,2.30,2,1,16:54:00,WEEK 07,Friday
BUR,NWC,3.84,3.16,2.10,3,2,16:54:00,WEEK 07,Friday
LIV,BRI,1.29,5.52,10.1,0,2,16:54:00,WEEK 07,Friday
CRY,MNC,6.08,4.37,1.52,1,0,16:54:00,WEEK 07,Friday
NOR,SOU,3.02,3.19,2.46,3,1,16:54:00,WEEK 07,Friday
WAT,ARS,3.19,3.18,2.36,0,1,16:54:00,WEEK 07,Friday
LEI,MNU,2.88,3.23,2.53,2,2,16:54:00,WEEK 07,Friday
WHU,LEI,2.30,2.97,3.55,2,2,16:56:00,WEEK 08,Friday
ARS,LIV,3.52,3.65,2.02,2,2,16:56:00,WEEK 08,Friday
MNU,WAT,1.86,3.41,4.51,1,2,16:56:00,WEEK 08,Friday
CHE,ASV,1.65,3.63,5.82,1,1,16:56:00,WEEK 08,Friday
BUR,BOU,2.43,3.24,3.01,2,1,16:56:00,WEEK 08,Friday
BRI,NOR,1.95,3.29,4.25,2,1,16:56:00,WEEK 08,Friday
WOL,EVE,2.38,3.20,3.13,1,3,16:56:00,WEEK 08,Friday
NWC,MNC,4.16,3.81,1.82,1,1,16:56:00,WEEK 08,Friday
TOT,SHU,1.46,4.38,7.18,2,1,16:56:00,WEEK 08,Friday
SOU,CRY,2.29,3.00,3.54,1,0,16:56:00,WEEK 08,Friday
EVE,BUR,1.46,4.36,7.20,1,0,16:58:00,WEEK 09,Friday
SHU,CHE,4.38,3.33,1.91,1,3,16:58:00,WEEK 09,Friday
LEI,TOT,2.88,3.23,2.53,1,1,16:58:00,WEEK 09,Friday
ASV,WOL,3.03,3.20,2.44,1,0,16:58:00,WEEK 09,Friday
CRY,BRI,1.96,3.25,4.27,1,1,16:58:00,WEEK 09,Friday
WAT,WHU,2.44,3.21,3.03,2,1,16:58:00,WEEK 09,Friday
LIV,MNU,1.77,3.63,4.72,1,3,16:58:00,WEEK 09,Friday
BOU,NWC,3.03,3.20,2.44,1,0,16:58:00,WEEK 09,Friday
MNC,SOU,1.42,4.55,7.93,2,1,16:58:00,WEEK 09,Friday
NOR,ARS,4.38,3.33,1.91,0,0,16:58:00,WEEK 09,Friday
MNU,NOR,1.46,4.38,7.18,3,0,17:00:00,WEEK 10,Friday
TOT,WAT,1.86,3.41,4.51,1,4,17:00:00,WEEK 10,Friday
BRI,MNC,7.60,4.66,1.42,0,2,17:00:00,WEEK 10,Friday
BOU,EVE,3.03,3.20,2.44,2,3,17:00:00,WEEK 10,Friday
WOL,SHU,1.46,4.36,7.20,4,0,17:00:00,WEEK 10,Friday
BUR,ASV,2.43,3.24,3.01,1,0,17:00:00,WEEK 10,Friday
WHU,LIV,5.07,3.91,1.67,1,1,17:00:00,WEEK 10,Friday
NWC,SOU,1.86,3.42,4.51,1,0,17:00:00,WEEK 10,Friday
CHE,LEI,2.05,3.21,3.95,0,1,17:00:00,WEEK 10,Friday
ARS,CRY,1.86,3.41,4.51,1,0,17:00:00,WEEK 10,Friday
EVE,NWC,2.38,3.20,3.13,0,2,17:02:00,WEEK 11,Friday
LEI,WOL,2.43,3.23,3.02,2,2,17:02:00,WEEK 11,Friday
MNC,ARS,1.77,3.63,4.72,2,0,17:02:00,WEEK 11,Friday
CRY,MNU,3.19,3.18,2.36,2,2,17:02:00,WEEK 11,Friday
SHU,BUR,2.24,3.07,3.58,1,1,17:02:00,WEEK 11,Friday
LIV,TOT,1.77,3.63,4.72,3,0,17:02:00,WEEK 11,Friday
SOU,BRI,1.96,3.25,4.27,1,1,17:02:00,WEEK 11,Friday
ASV,BOU,2.29,3.02,3.53,2,1,17:02:00,WEEK 11,Friday
WAT,CHE,3.19,3.18,2.36,2,1,17:02:00,WEEK 11,Friday
NOR,WHU,3.55,2.98,2.30,1,2,17:02:00,WEEK 11,Friday
EVE,ASV,1.65,3.63,5.82,0,2,17:04:00,WEEK 12,Friday
BOU,SHU,1.95,3.29,4.25,0,1,17:04:00,WEEK 12,Friday
NWC,BRI,1.65,3.63,5.82,0,1,17:04:00,WEEK 12,Friday
CHE,LIV,3.52,3.65,2.02,1,1,17:04:00,WEEK 12,Friday
ARS,SOU,1.86,3.41,4.51,1,0,17:04:00,WEEK 12,Friday
WOL,WAT,1.86,3.42,4.51,0,0,17:04:00,WEEK 12,Friday
BUR,LEI,3.55,2.98,2.30,0,1,17:04:00,WEEK 12,Friday
WHU,CRY,1.94,3.32,4.25,2,2,17:04:00,WEEK 12,Friday
MNU,MNC,3.52,3.65,2.02,0,1,17:04:00,WEEK 12,Friday
TOT,NOR,1.46,4.38,7.18,0,2,17:04:00,WEEK 12,Friday
BRI,ARS,3.54,3.00,2.30,1,2,17:06:00,WEEK 13,Friday
NOR,CHE,4.38,3.33,1.91,1,2,17:06:00,WEEK 13,Friday
SHU,EVE,3.84,3.16,2.10,0,1,17:06:00,WEEK 13,Friday
CRY,TOT,3.19,3.18,2.36,1,4,17:06:00,WEEK 13,Friday
LEI,BOU,1.77,3.43,5.15,4,1,17:06:00,WEEK 13,Friday
ASV,NWC,3.03,3.20,2.44,1,0,17:06:00,WEEK 13,Friday
LIV,WOL,1.57,4.03,6.02,2,0,17:06:00,WEEK 13,Friday
MNC,WHU,1.47,4.38,7.03,1,0,17:06:00,WEEK 13,Friday
SOU,MNU,3.19,3.18,2.36,2,2,17:06:00,WEEK 13,Friday
WAT,BUR,1.76,3.44,5.15,2,1,17:06:00,WEEK 13,Friday
ASV,SHU,1.95,3.29,4.25,0,0,17:08:00,WEEK 14,Friday
BOU,WAT,2.45,3.19,3.03,2,2,17:08:00,WEEK 14,Friday
WOL,NOR,1.46,4.36,7.20,3,0,17:08:00,WEEK 14,Friday
EVE,LEI,2.15,3.09,3.79,3,0,17:08:00,WEEK 14,Friday
NWC,ARS,2.48,3.20,2.98,1,1,17:08:00,WEEK 14,Friday
BUR,LIV,8.62,4.90,1.36,0,1,17:08:00,WEEK 14,Friday
CHE,CRY,1.86,3.41,4.51,2,0,17:08:00,WEEK 14,Friday
MNU,BRI,1.65,3.63,5.82,2,2,17:08:00,WEEK 14,Friday
TOT,MNC,3.52,3.65,2.02,1,0,17:08:00,WEEK 14,Friday
WHU,SOU,1.94,3.32,4.25,1,4,17:08:00,WEEK 14,Friday
LEI,ASV,1.77,3.43,5.15,2,1,17:10:00,WEEK 15,Friday
BRI,WHU,2.88,3.14,2.59,0,3,17:10:00,WEEK 15,Friday
SHU,NWC,3.84,3.16,2.10,1,3,17:10:00,WEEK 15,Friday
NOR,BUR,2.24,3.07,3.58,1,2,17:10:00,WEEK 15,Friday
CRY,WOL,3.00,3.16,2.49,3,1,17:10:00,WEEK 15,Friday
ARS,MNU,2.43,3.24,3.02,1,3,17:10:00,WEEK 15,Friday
SOU,TOT,3.19,3.18,2.36,0,0,17:10:00,WEEK 15,Friday
WAT,EVE,3.00,3.16,2.49,1,2,17:10:00,WEEK 15,Friday
MNC,CHE,1.77,3.63,4.72,3,0,17:10:00,WEEK 15,Friday
LIV,BOU,1.29,5.52,10.1,1,0,17:10:00,WEEK 15,Friday
NWC,MNU,2.48,3.20,2.98,2,1,17:12:00,WEEK 16,Friday
BUR,CRY,3.02,3.19,2.46,2,0,17:12:00,WEEK 16,Friday
EVE,LIV,4.16,3.81,1.82,1,4,17:12:00,WEEK 16,Friday
SHU,LEI,3.55,2.98,2.30,3,1,17:12:00,WEEK 16,Friday
BOU,NOR,1.95,3.29,4.25,0,2,17:12:00,WEEK 16,Friday
WOL,MNC,4.16,3.81,1.82,1,1,17:12:00,WEEK 16,Friday
WHU,ARS,2.88,3.23,2.53,0,0,17:12:00,WEEK 16,Friday
TOT,BRI,1.65,3.63,5.82,3,2,17:12:00,WEEK 16,Friday
CHE,SOU,1.86,3.41,4.51,4,2,17:12:00,WEEK 16,Friday
ASV,WAT,2.45,3.19,3.03,1,1,17:12:00,WEEK 16,Friday
BRI,CHE,3.54,3.00,2.30,1,0,17:14:00,WEEK 17,Friday
LEI,NWC,2.43,3.23,3.02,3,1,17:14:00,WEEK 17,Friday
WAT,SHU,1.76,3.44,5.15,2,1,17:14:00,WEEK 17,Friday
SOU,WOL,3.00,3.16,2.49,0,2,17:14:00,WEEK 17,Friday
MNC,BUR,1.23,6.21,13.0,0,1,17:14:00,WEEK 17,Friday
LIV,ASV,1.29,5.52,10.1,2,2,17:14:00,WEEK 17,Friday
CRY,BOU,1.96,3.25,4.27,1,1,17:14:00,WEEK 17,Friday
NOR,EVE,3.84,3.16,2.10,0,1,17:14:00,WEEK 17,Friday
MNU,WHU,2.05,3.21,3.95,0,0,17:14:00,WEEK 17,Friday
ARS,TOT,2.43,3.24,3.02,0,4,17:14:00,WEEK 17,Friday
BOU,MNC,7.60,4.66,1.42,0,1,17:16:00,WEEK 18,Friday
BUR,SOU,3.02,3.19,2.46,2,0,17:16:00,WEEK 18,Friday
EVE,CRY,1.86,3.42,4.51,5,1,17:16:00,WEEK 18,Friday
WOL,BRI,1.65,3.63,5.82,3,1,17:16:00,WEEK 18,Friday
SHU,LIV,8.62,4.90,1.36,2,4,17:16:00,WEEK 18,Friday
NWC,WHU,2.15,3.09,3.79,0,0,17:16:00,WEEK 18,Friday
TOT,MNU,2.43,3.24,3.02,1,3,17:16:00,WEEK 18,Friday
CHE,ARS,2.43,3.24,3.02,5,1,17:16:00,WEEK 18,Friday
ASV,NOR,1.95,3.29,4.25,2,1,17:16:00,WEEK 18,Friday
LEI,WAT,1.94,3.32,4.25,2,2,17:16:00,WEEK 18,Friday
WAT,NWC,3.00,3.16,2.49,3,0,17:18:00,WEEK 19,Friday
MNC,EVE,1.57,4.03,6.02,4,0,17:18:00,WEEK 19,Friday
ARS,WOL,2.24,3.07,3.57,2,1,17:18:00,WEEK 19,Friday
BRI,BUR,1.95,3.29,4.25,1,1,17:18:00,WEEK 19,Friday
NOR,SHU,2.24,3.07,3.58,2,3,17:18:00,WEEK 19,Friday
SOU,BOU,1.96,3.25,4.27,0,1,17:18:00,WEEK 19,Friday
CRY,ASV,1.96,3.25,4.27,0,2,17:18:00,WEEK 19,Friday
LIV,LEI,1.47,4.38,7.03,0,1,17:18:00,WEEK 19,Friday
MNU,CHE,2.43,3.24,3.02,3,2,17:18:00,WEEK 19,Friday
WHU,TOT,2.88,3.23,2.53,2,3,17:18:00,WEEK 19,Friday
BRI,BOU,2.29,3.02,3.53,1,0,17:20:00,WEEK 20,Friday
SOU,EVE,3.00,3.16,2.49,2,2,17:20:00,WEEK 20,Friday
ARS,BUR,1.46,4.38,7.18,2,1,17:20:00,WEEK 20,Friday
CRY,SHU,1.76,3.44,5.15,2,2,17:20:00,WEEK 20,Friday
NOR,LEI,3.55,2.98,2.30,0,3,17:20:00,WEEK 20,Friday
WHU,CHE,2.88,3.23,2.53,1,1,17:20:00,WEEK 20,Friday
LIV,WAT,1.42,4.55,7.93,3,1,17:20:00,WEEK 20,Friday
MNC,ASV,1.29,5.52,10.1,2,1,17:20:00,WEEK 20,Friday
NWC,TOT,2.48,3.20,2.98,0,2,17:20:00,WEEK 20,Friday
MNU,WOL,2.24,3.07,3.57,2,0,17:20:00,WEEK 20,Friday
LEI,CRY,1.94,3.32,4.25,4,0,17:22:00,WEEK 21,Friday
EVE,BRI,1.65,3.63,5.82,3,0,17:22:00,WEEK 21,Friday
ASV,SOU,2.45,3.19,3.03,1,4,17:22:00,WEEK 21,Friday
BUR,MNU,4.38,3.33,1.91,2,2,17:22:00,WEEK 21,Friday
WOL,WHU,2.15,3.09,3.79,0,0,17:22:00,WEEK 21,Friday
WAT,NOR,1.76,3.44,5.15,2,0,17:22:00,WEEK 21,Friday
CHE,TOT,2.43,3.24,3.02,0,2,17:22:00,WEEK 21,Friday
LIV,NWC,1.57,4.03,6.02,5,1,17:22:00,WEEK 21,Friday
SHU,MNC,8.62,4.90,1.36,0,2,17:22:00,WEEK 21,Friday
BOU,ARS,3.54,3.00,2.30,3,2,17:22:00,WEEK 21,Friday
MNC,LEI,1.47,4.38,7.03,3,0,17:24:00,WEEK 22,Friday
NOR,LIV,8.62,4.90,1.36,1,2,17:24:00,WEEK 22,Friday
CRY,WAT,2.29,3.00,3.54,0,0,17:24:00,WEEK 22,Friday
TOT,WOL,2.24,3.07,3.57,0,0,17:24:00,WEEK 22,Friday
BRI,ASV,2.29,3.02,3.53,0,1,17:24:00,WEEK 22,Friday
MNU,BOU,1.65,3.63,5.82,1,0,17:24:00,WEEK 22,Friday
ARS,EVE,2.24,3.07,3.57,3,2,17:24:00,WEEK 22,Friday
NWC,CHE,2.48,3.20,2.98,0,0,17:24:00,WEEK 22,Friday
WHU,BUR,1.55,4.05,6.24,2,1,17:24:00,WEEK 22,Friday
SOU,SHU,1.76,3.44,5.15,0,0,17:24:00,WEEK 22,Friday
EVE,MNU,2.48,3.20,2.98,1,0,17:26:00,WEEK 23,Friday
NOR,NWC,3.84,3.16,2.10,0,1,17:26:00,WEEK 23,Friday
WAT,MNC,6.08,4.37,1.52,4,2,17:26:00,WEEK 23,Friday
LEI,SOU,1.94,3.32,4.25,0,0,17:26:00,WEEK 23,Friday
ASV,ARS,3.54,3.00,2.30,0,4,17:26:00,WEEK 23,Friday
BUR,TOT,4.38,3.33,1.91,0,0,17:26:00,WEEK 23,Friday
LIV,CRY,1.42,4.55,7.93,2,0,17:26:00,WEEK 23,Friday
WOL,CHE,2.48,3.20,2.98,0,3,17:26:00,WEEK 23,Friday
BOU,WHU,2.88,3.14,2.59,1,2,17:26:00,WEEK 23,Friday
SHU,BRI,2.43,3.24,3.01,1,0,17:26:00,WEEK 23,Friday
TOT,BOU,1.65,3.63,5.82,1,0,17:28:00,WEEK 24,Friday
BRI,LEI,2.88,3.14,2.59,0,1,17:28:00,WEEK 24,Friday
ARS,SHU,1.46,4.38,7.18,2,3,17:28:00,WEEK 24,Friday
CRY,NOR,1.76,3.44,5.15,2,1,17:28:00,WEEK 24,Friday
NWC,WOL,2.38,3.20,3.13,0,1,17:28:00,WEEK 24,Friday
WHU,EVE,2.43,3.23,3.02,1,2,17:28:00,WEEK 24,Friday
SOU,WAT,2.29,3.00,3.54,2,0,17:28:00,WEEK 24,Friday
MNU,ASV,1.65,3.63,5.82,0,0,17:28:00,WEEK 24,Friday
CHE,BUR,1.46,4.38,7.18,3,1,17:28:00,WEEK 24,Friday
MNC,LIV,2.45,3.19,3.03,0,0,17:28:00,WEEK 24,Friday
WAT,BRI,1.96,3.25,4.27,2,0,17:30:00,WEEK 25,Friday
NOR,MNC,8.62,4.90,1.36,0,1,17:30:00,WEEK 25,Friday
LEI,ARS,2.88,3.23,2.53,1,0,17:30:00,WEEK 25,Friday
BUR,WOL,3.84,3.16,2.10,1,1,17:30:00,WEEK 25,Friday
EVE,TOT,2.48,3.20,2.98,0,2,17:30:00,WEEK 25,Friday
BOU,CHE,3.54,3.00,2.30,0,1,17:30:00,WEEK 25,Friday
CRY,NWC,3.00,3.16,2.49,1,1,17:30:00,WEEK 25,Friday
SHU,MNU,4.38,3.33,1.91,1,3,17:30:00,WEEK 25,Friday
ASV,WHU,2.88,3.14,2.59,2,3,17:30:00,WEEK 25,Friday
LIV,SOU,1.42,4.55,7.93,3,0,17:30:00,WEEK 25,Friday
WOL,BOU,1.65,3.63,5.82,6,0,17:32:00,WEEK 26,Friday
MNU,LEI,2.05,3.21,3.95,1,2,17:32:00,WEEK 26,Friday
TOT,ASV,1.65,3.63,5.82,4,0,17:32:00,WEEK 26,Friday
WHU,SHU,1.55,4.05,6.24,4,2,17:32:00,WEEK 26,Friday
CHE,EVE,2.24,3.07,3.57,1,1,17:32:00,WEEK 26,Friday
BRI,LIV,7.60,4.66,1.42,0,2,17:32:00,WEEK 26,Friday
NWC,BUR,1.46,4.36,7.20,2,1,17:32:00,WEEK 26,Friday
ARS,WAT,1.86,3.41,4.51,1,4,17:32:00,WEEK 26,Friday
MNC,CRY,1.42,4.55,7.93,4,1,17:32:00,WEEK 26,Friday
SOU,NOR,1.76,3.44,5.15,3,0,17:32:00,WEEK 26,Friday
NOR,BRI,2.43,3.24,3.01,0,0,17:34:00,WEEK 27,Friday
BOU,BUR,1.95,3.29,4.25,1,0,17:34:00,WEEK 27,Friday
CRY,SOU,2.29,3.00,3.54,3,1,17:34:00,WEEK 27,Friday
LIV,ARS,1.77,3.63,4.72,3,2,17:34:00,WEEK 27,Friday
WAT,MNU,3.19,3.18,2.36,3,0,17:34:00,WEEK 27,Friday
ASV,CHE,3.54,3.00,2.30,0,1,17:34:00,WEEK 27,Friday
EVE,WOL,2.38,3.20,3.13,1,0,17:34:00,WEEK 27,Friday
MNC,NWC,1.57,4.03,6.02,2,1,17:34:00,WEEK 27,Friday
LEI,WHU,2.30,2.97,3.55,3,0,17:34:00,WEEK 27,Friday
SHU,TOT,4.38,3.33,1.91,2,3,17:34:00,WEEK 27,Friday
BUR,EVE,3.84,3.16,2.10,0,1,17:36:00,WEEK 28,Friday
SOU,MNC,6.08,4.37,1.52,3,2,17:36:00,WEEK 28,Friday
WHU,WAT,1.94,3.32,4.25,1,0,17:36:00,WEEK 28,Friday
MNU,LIV,3.52,3.65,2.02,1,3,17:36:00,WEEK 28,Friday
ARS,NOR,1.46,4.38,7.18,1,0,17:36:00,WEEK 28,Friday
CHE,SHU,1.46,4.38,7.18,0,0,17:36:00,WEEK 28,Friday
BRI,CRY,2.45,3.19,3.03,0,2,17:36:00,WEEK 28,Friday
NWC,BOU,1.65,3.63,5.82,2,0,17:36:00,WEEK 28,Friday
WOL,ASV,1.65,3.63,5.82,0,1,17:36:00,WEEK 28,Friday
TOT,LEI,2.05,3.21,3.95,1,2,17:36:00,WEEK 28,Friday
SHU,WOL,3.84,3.16,2.10,1,3,17:38:00,WEEK 29,Friday
NOR,MNU,4.38,3.33,1.91,1,1,17:38:00,WEEK 29,Friday
LEI,CHE,2.88,3.23,2.53,0,2,17:38:00,WEEK 29,Friday
WAT,TOT,3.19,3.18,2.36,2,1,17:38:00,WEEK 29,Friday
LIV,WHU,1.47,4.38,7.03,1,0,17:38:00,WEEK 29,Friday
CRY,ARS,3.19,3.18,2.36,0,1,17:38:00,WEEK 29,Friday
SOU,NWC,3.00,3.16,2.49,1,0,17:38:00,WEEK 29,Friday
ASV,BUR,1.95,3.29,4.25,1,2,17:38:00,WEEK 29,Friday
MNC,BRI,1.29,5.52,10.1,4,1,17:38:00,WEEK 29,Friday
EVE,BOU,1.65,3.63,5.82,2,0,17:38:00,WEEK 29,Friday
